,well_site,num_cells,num_cells_with_condensates,num_condensates,avg_condensates_per_cell,avg_condensate_area,avg_condensate_intensity
0,KRD-MOA-OC43-220310-3720-22-1_A01_s1,10,2,2,1.0,1.048,0.021
0,KRD-MOA-OC43-220310-3720-22-1_A01_s2,5,2,2,1.0,1.398,0.03
0,KRD-MOA-OC43-220310-3720-22-1_A01_s3,11,1,1,1.0,0.699,0.019
0,KRD-MOA-OC43-220310-3720-22-1_A01_s4,6,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A01_s5,15,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A01_s6,6,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A02_s1,5,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A02_s2,6,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A02_s3,6,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A02_s4,4,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A02_s5,0,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A02_s6,8,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s1,11,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s2,8,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s3,6,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s4,6,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s5,13,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A03_s6,2,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A04_s1,25,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A04_s2,16,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A04_s3,9,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A04_s4,25,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A04_s5,16,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A04_s6,19,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A05_s1,12,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A05_s2,30,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A05_s3,15,1,1,1.0,0.175,0.028
0,KRD-MOA-OC43-220310-3720-22-1_A05_s4,21,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A05_s5,10,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A05_s6,13,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s1,16,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s2,16,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s3,29,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s4,23,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s5,26,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A06_s6,28,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A07_s1,35,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A07_s2,9,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A07_s3,23,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A07_s4,15,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A07_s5,10,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A07_s6,11,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A08_s1,11,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A08_s2,10,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A08_s3,11,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A08_s4,20,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A08_s5,2,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A08_s6,8,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A09_s1,24,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A09_s2,18,1,1,1.0,0.699,0.013
0,KRD-MOA-OC43-220310-3720-22-1_A09_s3,13,3,3,1.0,2.038,0.034
0,KRD-MOA-OC43-220310-3720-22-1_A09_s4,13,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A09_s5,22,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A09_s6,18,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A10_s1,23,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A10_s2,19,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A10_s3,33,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A10_s4,31,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A10_s5,31,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A10_s6,10,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A11_s1,51,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A11_s2,30,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A11_s3,31,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A11_s4,28,1,1,1.0,0.175,0.02
0,KRD-MOA-OC43-220310-3720-22-1_A11_s5,28,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A11_s6,27,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A12_s1,22,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A12_s2,26,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A12_s3,35,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A12_s4,24,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A12_s5,28,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A12_s6,33,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A13_s1,51,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A13_s2,49,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A13_s3,32,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A13_s4,30,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A13_s5,29,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A13_s6,25,0,0,,,
