,well_site,num_cells,num_cells_with_condensates,num_condensates,avg_condensates_per_cell,avg_condensate_area,avg_condensate_intensity
0,KRD-MOA-OC43-220310-3720-22-1_A13_s6,29,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A14_s1,37,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A14_s2,35,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A14_s3,32,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A14_s4,33,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A14_s5,9,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A14_s6,19,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A15_s1,33,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A15_s2,35,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A15_s3,24,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A15_s4,30,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A15_s5,20,2,15,7.5,0.874,0.088
0,KRD-MOA-OC43-220310-3720-22-1_A15_s6,29,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A16_s1,31,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A16_s2,21,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A16_s3,18,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A16_s4,23,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A16_s5,25,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A16_s6,30,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A17_s1,23,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A17_s2,32,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A17_s3,22,1,1,1.0,0.699,0.014
0,KRD-MOA-OC43-220310-3720-22-1_A17_s4,19,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A17_s5,23,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A17_s6,18,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A18_s1,51,1,1,1.0,0.175,0.035
0,KRD-MOA-OC43-220310-3720-22-1_A18_s2,30,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A18_s3,31,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A18_s4,36,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A18_s5,29,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A18_s6,14,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A19_s1,37,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A19_s2,27,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A19_s3,24,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A19_s4,27,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A19_s5,14,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A19_s6,24,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A20_s1,29,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A20_s2,46,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A20_s3,31,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A20_s4,26,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A20_s5,39,1,1,1.0,0.175,0.032
0,KRD-MOA-OC43-220310-3720-22-1_A20_s6,44,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A21_s1,49,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A21_s2,27,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A21_s3,18,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A21_s4,36,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A21_s5,23,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A21_s6,27,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A22_s1,23,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A22_s2,42,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A22_s3,37,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A22_s4,57,1,1,1.0,0.349,0.071
0,KRD-MOA-OC43-220310-3720-22-1_A22_s5,23,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_A22_s6,40,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B01_s1,10,4,16,4.0,3.428,0.078
0,KRD-MOA-OC43-220310-3720-22-1_B01_s2,17,9,50,5.56,2.655,0.06
0,KRD-MOA-OC43-220310-3720-22-1_B01_s3,4,2,13,6.5,3.145,0.064
0,KRD-MOA-OC43-220310-3720-22-1_B01_s4,13,5,13,2.6,2.607,0.095
0,KRD-MOA-OC43-220310-3720-22-1_B01_s5,23,10,39,3.9,2.204,0.056
0,KRD-MOA-OC43-220310-3720-22-1_B01_s6,21,7,48,6.86,4.196,0.098
0,KRD-MOA-OC43-220310-3720-22-1_B02_s1,31,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B02_s2,35,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B02_s3,40,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B02_s4,40,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B02_s5,30,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B02_s6,24,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B03_s1,40,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B03_s2,27,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B03_s3,44,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B03_s4,38,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B03_s5,39,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B03_s6,15,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B04_s1,34,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B04_s2,46,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B04_s3,47,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B04_s4,24,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B04_s5,36,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B04_s6,22,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B05_s1,19,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B05_s2,39,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B05_s3,37,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B05_s4,48,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B05_s5,39,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B05_s6,50,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B06_s1,37,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B06_s2,35,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B06_s3,25,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B06_s4,28,2,7,3.5,2.296,0.194
0,KRD-MOA-OC43-220310-3720-22-1_B06_s5,17,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B06_s6,23,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B07_s1,39,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B07_s2,38,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B07_s3,36,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B07_s4,37,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B07_s5,49,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B07_s6,37,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B08_s1,47,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B08_s2,31,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B08_s3,32,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B08_s4,21,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B08_s5,20,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B08_s6,27,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B09_s1,41,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B09_s2,36,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B09_s3,41,2,2,1.0,0.175,0.04
0,KRD-MOA-OC43-220310-3720-22-1_B09_s4,41,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B09_s5,41,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B09_s6,41,0,0,,,
0,KRD-MOA-OC43-220310-3720-22-1_B10_s1,61,0,0,,,
